Organism,In the presence of,MSI,Abundance
Pantoea sp. A4,Pantoea sp. PSNIH2,0.0,2.455010735
Pantoea sp. A4,Pantoea vagans,0.0,2.455010735
Pantoea sp. A4,Salmonella enterica,0.03772489843296578,2.455010735
Pantoea sp. At-9b,Enterobacter cloacae,0.044289044289044344,1.199959665
Pantoea sp. At-9b,Escherichia coli,0.044289044289044344,1.199959665
Pantoea sp. At-9b,Klebsiella pneumoniae,0.044289044289044344,1.199959665
Pantoea sp. At-9b,Pantoea agglomerans,0.0,1.199959665
Pantoea sp. At-9b,Pantoea ananatis,0.0,1.199959665
Pantoea sp. At-9b,Pantoea conspicua,0.0,1.199959665
Pantoea sp. At-9b,Pantoea sp. A4,0.0,1.199959665
Pantoea sp. At-9b,Pantoea sp. IMH,0.0,1.199959665
Pantoea sp. At-9b,Pantoea sp. NGS-ED-1003,0.0,1.199959665
Pantoea sp. At-9b,Pantoea sp. OXWO6B1,0.0,1.199959665
Pantoea sp. At-9b,Pantoea sp. PSNIH2,0.0,1.199959665
Pantoea sp. At-9b,Pantoea vagans,0.0,1.199959665
Pantoea sp. At-9b,Salmonella enterica,0.0407925407925408,1.199959665
Pantoea sp. IMH,Enterobacter cloacae,0.06736711990111244,1.875813152
Pantoea sp. IMH,Escherichia coli,0.06736711990111244,1.875813152
Pantoea sp. IMH,Klebsiella pneumoniae,0.06736711990111244,1.875813152
Pantoea sp. IMH,Pantoea agglomerans,0.0,1.875813152
Pantoea sp. IMH,Pantoea ananatis,0.0,1.875813152
Pantoea sp. IMH,Pantoea conspicua,0.0,1.875813152
Pantoea sp. IMH,Pantoea sp. A4,0.0,1.875813152
Pantoea sp. IMH,Pantoea sp. At-9b,0.0,1.875813152
Pantoea sp. IMH,Pantoea sp. NGS-ED-1003,0.0,1.875813152
Pantoea sp. IMH,Pantoea sp. OXWO6B1,0.0,1.875813152
Pantoea sp. IMH,Pantoea sp. PSNIH2,0.0,1.875813152
Pantoea sp. IMH,Pantoea vagans,0.0,1.875813152
Pantoea sp. IMH,Salmonella enterica,0.06365883807169348,1.875813152
Pantoea sp. NGS-ED-1003,Enterobacter cloacae,0.06627906976744191,12.06182043
Pantoea sp. NGS-ED-1003,Escherichia coli,0.06860465116279069,12.06182043
Pantoea sp. NGS-ED-1003,Klebsiella pneumoniae,0.06627906976744191,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea agglomerans,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea ananatis,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea conspicua,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. A4,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. At-9b,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. IMH,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. OXWO6B1,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea sp. PSNIH2,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Pantoea vagans,0.0,12.06182043
Pantoea sp. NGS-ED-1003,Salmonella enterica,0.06279069767441858,12.06182043
Pantoea sp. OXWO6B1,Enterobacter cloacae,0.0730403800475059,3.414929279
Pantoea sp. OXWO6B1,Escherichia coli,0.0730403800475059,3.414929279
Pantoea sp. OXWO6B1,Klebsiella pneumoniae,0.0730403800475059,3.414929279
Pantoea sp. OXWO6B1,Pantoea agglomerans,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea ananatis,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea conspicua,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. A4,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. At-9b,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. IMH,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. NGS-ED-1003,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea sp. PSNIH2,0.0,3.414929279
Pantoea sp. OXWO6B1,Pantoea vagans,0.0,3.414929279
Pantoea sp. OXWO6B1,Salmonella enterica,0.06947743467933487,3.414929279
Pantoea sp. PSNIH2,Enterobacter cloacae,0.06957047791893523,2.295147283
Pantoea sp. PSNIH2,Escherichia coli,0.06957047791893523,2.295147283
Pantoea sp. PSNIH2,Klebsiella pneumoniae,0.06957047791893523,2.295147283
Pantoea sp. PSNIH2,Pantoea agglomerans,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea ananatis,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea conspicua,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. A4,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. At-9b,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. IMH,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. NGS-ED-1003,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea sp. OXWO6B1,0.0,2.295147283
Pantoea sp. PSNIH2,Pantoea vagans,0.0,2.295147283
Pantoea sp. PSNIH2,Salmonella enterica,0.06594071385359956,2.295147283
Pantoea vagans,Enterobacter cloacae,0.06993424985056784,12.03206123
Pantoea vagans,Escherichia coli,0.07232516437537362,12.03206123
Pantoea vagans,Klebsiella pneumoniae,0.06993424985056784,12.03206123
Pantoea vagans,Pantoea agglomerans,0.0,12.03206123
Pantoea vagans,Pantoea ananatis,0.0,12.03206123
Pantoea vagans,Pantoea conspicua,0.0,12.03206123
Pantoea vagans,Pantoea sp. A4,0.0,12.03206123
Pantoea vagans,Pantoea sp. At-9b,0.0,12.03206123
Pantoea vagans,Pantoea sp. IMH,0.0,12.03206123
Pantoea vagans,Pantoea sp. NGS-ED-1003,0.0,12.03206123
Pantoea vagans,Pantoea sp. OXWO6B1,0.0,12.03206123
Pantoea vagans,Pantoea sp. PSNIH2,0.0,12.03206123
Pantoea vagans,Salmonella enterica,0.06634787806335929,12.03206123
Salmonella enterica,Enterobacter cloacae,0.0036540803897685548,2.837945189
Salmonella enterica,Escherichia coli,0.00974421437271622,2.837945189
Salmonella enterica,Klebsiella pneumoniae,0.0036540803897685548,2.837945189
Salmonella enterica,Pantoea agglomerans,0.0,2.837945189
Salmonella enterica,Pantoea ananatis,0.0036540803897685548,2.837945189
Salmonella enterica,Pantoea conspicua,0.0,2.837945189
Salmonella enterica,Pantoea sp. A4,0.0,2.837945189
Salmonella enterica,Pantoea sp. At-9b,0.0,2.837945189
Salmonella enterica,Pantoea sp. IMH,0.0,2.837945189
Salmonella enterica,Pantoea sp. NGS-ED-1003,0.0,2.837945189
Salmonella enterica,Pantoea sp. OXWO6B1,0.0012180267965895553,2.837945189
Salmonella enterica,Pantoea sp. PSNIH2,0.0,2.837945189
Salmonella enterica,Pantoea vagans,0.0,2.837945189
