Organism,In the presence of,MSI,Abundance
Penicillium chrysogenum,Staphylococcus haemolyticus,0,2.706087223
Penicillium flavigenum,Staphylococcus haemolyticus,0,1.360382236
Penicillium nalgiovense,Staphylococcus haemolyticus,0,2.006425218
Penicillium rubens,Staphylococcus haemolyticus,0,13.74337824
Rhodotorula sp. JG-1b,Staphylococcus haemolyticus,0,5.305633658
Staphylococcus aureus,Staphylococcus haemolyticus,0.001453488,2.295716928
Staphylococcus epidermidis,Staphylococcus haemolyticus,0,1.078725485
Staphylococcus saprophyticus,Staphylococcus haemolyticus,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Staphylococcus haemolyticus,0.001402525,1.260395658
Staphylococcus warneri,Staphylococcus haemolyticus,0,1.967657759
Enterococcus avium,Staphylococcus saprophyticus,0,3.908401418
Enterococcus faecalis,Staphylococcus saprophyticus,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Staphylococcus saprophyticus,0,0.000348628
Paenibacillus polymyxa,Staphylococcus saprophyticus,0,6.111348372
Penicillium chrysogenum,Staphylococcus saprophyticus,0,2.706087223
Penicillium flavigenum,Staphylococcus saprophyticus,0,1.360382236
Penicillium nalgiovense,Staphylococcus saprophyticus,0,2.006425218
Penicillium rubens,Staphylococcus saprophyticus,0,13.74337824
Rhodotorula sp. JG-1b,Staphylococcus saprophyticus,0,5.305633658
Staphylococcus aureus,Staphylococcus saprophyticus,0.002180233,2.295716928
Staphylococcus epidermidis,Staphylococcus saprophyticus,0.002255639,1.078725485
Staphylococcus haemolyticus,Staphylococcus saprophyticus,0,2.260296299
Staphylococcus sp. LCT-H4,Staphylococcus saprophyticus,0.002103787,1.260395658
Staphylococcus warneri,Staphylococcus saprophyticus,0,1.967657759
Enterococcus avium,Staphylococcus sp. LCT-H4,0,3.908401418
Enterococcus faecalis,Staphylococcus sp. LCT-H4,0,11.83686988
Klebsiella pneumoniae F3-2P(2*),Staphylococcus sp. LCT-H4,0,0.000348628
Paenibacillus polymyxa,Staphylococcus sp. LCT-H4,0,6.111348372
Penicillium chrysogenum,Staphylococcus sp. LCT-H4,0,2.706087223
Penicillium flavigenum,Staphylococcus sp. LCT-H4,0,1.360382236
Penicillium nalgiovense,Staphylococcus sp. LCT-H4,0,2.006425218
Penicillium rubens,Staphylococcus sp. LCT-H4,0,13.74337824
Rhodotorula sp. JG-1b,Staphylococcus sp. LCT-H4,0,5.305633658
Staphylococcus aureus,Staphylococcus sp. LCT-H4,0,2.295716928
Staphylococcus epidermidis,Staphylococcus sp. LCT-H4,0,1.078725485
Staphylococcus haemolyticus,Staphylococcus sp. LCT-H4,0,2.260296299
Staphylococcus saprophyticus,Staphylococcus sp. LCT-H4,0,30.89710761
Staphylococcus warneri,Staphylococcus sp. LCT-H4,0,1.967657759
Enterococcus avium,Staphylococcus warneri,0,3.908401418
Enterococcus faecalis,Staphylococcus warneri,0.0016,11.83686988
Klebsiella pneumoniae F3-2P(2*),Staphylococcus warneri,0,0.000348628
Paenibacillus polymyxa,Staphylococcus warneri,0,6.111348372
Penicillium chrysogenum,Staphylococcus warneri,0,2.706087223
Penicillium flavigenum,Staphylococcus warneri,0,1.360382236
Penicillium nalgiovense,Staphylococcus warneri,0,2.006425218
Penicillium rubens,Staphylococcus warneri,0,13.74337824
Rhodotorula sp. JG-1b,Staphylococcus warneri,0,5.305633658
Staphylococcus aureus,Staphylococcus warneri,0.003633721,2.295716928
Staphylococcus epidermidis,Staphylococcus warneri,0.002255639,1.078725485
Staphylococcus haemolyticus,Staphylococcus warneri,0,2.260296299
Staphylococcus saprophyticus,Staphylococcus warneri,0.001458789,30.89710761
Staphylococcus sp. LCT-H4,Staphylococcus warneri,0.003506311,1.260395658
