Org A,Org B,Effect
Enterococcus faecalis,Staphylococcus sp. LCT-H4,1.778
Enterococcus faecalis,Staphylococcus warneri,1.778
Escherichia coli,Aspergillus niger,0
Escherichia coli,Enterobacter asburiae,-0.787
Escherichia coli,Enterobacter cancerogenus,-0.737
Escherichia coli,Enterobacter cloacae,-0.548
Escherichia coli,Enterobacter hormaechei,-0.477
Escherichia coli,Enterobacter roggenkampii,-0.858
Escherichia coli,Enterobacter sp. NFIX59,-0.746
Escherichia coli,Klebsiella oxytoca,-0.841
Escherichia coli,Klebsiella pneumoniae,-0.832
Escherichia coli,Klebsiella quasipneumoniae IF2SW-B3,-1
Escherichia coli,Klebsiella quasipneumoniae IF2SW-P1,-1
Escherichia coli,Pantoea ananatis,-0.804
Escherichia coli,Penicillium rubens,0
Escherichia coli,Rhodotorula sp. JG-1b,-1
Escherichia coli,Salmonella enterica,-0.768
Escherichia coli,Shigella sonnei,-0.177
Escherichia coli,Pantoea agglomerans,-0.907
Escherichia coli,Pantoea conspicua,-0.882
Escherichia coli,Pantoea sp. 3.5.1,-0.782
Escherichia coli,Paenibacillus polymyxa IIF5SW-B3,0
Escherichia coli,Pantoea agglomerans FJII-L5-SW-P2,-0.852
Escherichia coli,Pantoea vagans,-0.75
Escherichia coli,Pantoea sp. A4,-0.822
Escherichia coli,Pantoea sp. At-9b,-0.749
Escherichia coli,Pantoea sp. IMH,-0.933
Escherichia coli,Pantoea sp. NGS-ED-1003,-0.79
Escherichia coli,Pantoea sp. OXWO6B1,-0.81
Escherichia coli,Pantoea sp. PSNIH2,-0.87
Escherichia coli,Klebsiella quasipneumoniae IIIF3SW-P1,-0.945
Escherichia coli,Klebsiella sp. MS 92-3,-0.993
Escherichia coli,Klebsiella variicola,-0.938
Escherichia coli,Staphylococcus saprophyticus,0
Escherichia coli,Pantoea dispersa,-0.783
Escherichia coli,Rahnella aquatilis,-1
Escherichia coli,Klebsiella aerogenes IIIF7SW-P1,0
Klebsiella aerogenes IIIF7SW-P1,Enterobacter cloacae,-0.814
Klebsiella aerogenes IIIF7SW-P1,Escherichia coli,-0.623
Klebsiella aerogenes IIIF7SW-P1,Klebsiella pneumoniae,-0.647
Klebsiella aerogenes IIIF7SW-P1,Pantoea agglomerans,-0.674
Klebsiella aerogenes IIIF7SW-P1,Pantoea ananatis,-0.754
Klebsiella aerogenes IIIF7SW-P1,Pantoea conspicua,-0.674
Klebsiella aerogenes IIIF7SW-P1,Pantoea sp. A4,-0.663
Klebsiella aerogenes IIIF7SW-P1,Pantoea sp. IMH,-0.674
Klebsiella aerogenes IIIF7SW-P1,Pantoea sp. NGS-ED-1003,-0.674
Klebsiella aerogenes IIIF7SW-P1,Pantoea sp. OXWO6B1,-0.674
Klebsiella aerogenes IIIF7SW-P1,Pantoea sp. PSNIH2,-0.674
Klebsiella aerogenes IIIF7SW-P1,Pantoea vagans,-0.674
Klebsiella aerogenes IIIF7SW-P1,Salmonella enterica,-0.674
Klebsiella oxytoca,Enterobacter asburiae,-0.604
Klebsiella oxytoca,Enterobacter cancerogenus,-0.463
Klebsiella oxytoca,Enterobacter cloacae,-0.376
Klebsiella oxytoca,Enterobacter hormaechei,-0.509
Klebsiella oxytoca,Enterobacter roggenkampii,0
Klebsiella oxytoca,Enterobacter sp. NFIX59,-0.64
Klebsiella oxytoca,Escherichia coli,-0.159
Klebsiella oxytoca,Klebsiella pneumoniae,-0.519
Klebsiella oxytoca,Klebsiella quasipneumoniae IF2SW-B3,-0.432
Klebsiella oxytoca,Klebsiella quasipneumoniae IF2SW-P1,-0.432
Klebsiella oxytoca,Pantoea ananatis,-0.47
Klebsiella oxytoca,Penicillium rubens,0
Klebsiella oxytoca,Rhodotorula sp. JG-1b,-1
Klebsiella oxytoca,Salmonella enterica,-0.733
Klebsiella oxytoca,Shigella sonnei,0
Klebsiella pneumoniae,Aspergillus niger,0
Klebsiella pneumoniae,Enterobacter asburiae,-0.364
Klebsiella pneumoniae,Enterobacter cancerogenus,-0.417
Klebsiella pneumoniae,Enterobacter cloacae,-0.751
Klebsiella pneumoniae,Enterobacter hormaechei,-0.359
Klebsiella pneumoniae,Enterobacter roggenkampii,-0.389
Klebsiella pneumoniae,Enterobacter sp. NFIX59,-0.354
Klebsiella pneumoniae,Escherichia coli,-0.168
Klebsiella pneumoniae,Klebsiella aerogenes IIIF7SW-P1,0
Klebsiella pneumoniae,Klebsiella oxytoca,-0.481
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-B2,-0.309
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-P3,-0.309
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF1SW-P4,-0.309
Klebsiella pneumoniae,Penicillium chrysogenum,0
Klebsiella pneumoniae,Penicillium rubens,0
Klebsiella pneumoniae,Rhodotorula sp. JG-1b,-1
Klebsiella pneumoniae,Rhodotorula toruloides,-1
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF2SW-B3,-0.309
Klebsiella pneumoniae,Klebsiella quasipneumoniae IF2SW-P1,-0.309
Klebsiella pneumoniae,Pantoea ananatis,-0.738
Klebsiella pneumoniae,Salmonella enterica,-0.504
Klebsiella pneumoniae,Shigella sonnei,-0.244
Klebsiella pneumoniae,Pantoea agglomerans,-0.7
Klebsiella pneumoniae,Pantoea conspicua,-0.847
Klebsiella pneumoniae,Pantoea sp. 3.5.1,-0.719
Klebsiella pneumoniae,Paenibacillus polymyxa IIF5SW-B3,0
Klebsiella pneumoniae,Pantoea agglomerans FJII-L5-SW-P2,-0.683
Klebsiella pneumoniae,Pantoea vagans,-0.694
Klebsiella pneumoniae,Pantoea sp. A4,-0.67
Klebsiella pneumoniae,Pantoea sp. At-9b,-0.434
Klebsiella pneumoniae,Pantoea sp. IMH,-0.971
Klebsiella pneumoniae,Pantoea sp. NGS-ED-1003,-0.67
Klebsiella pneumoniae,Pantoea sp. OXWO6B1,-0.955
Klebsiella pneumoniae,Pantoea sp. PSNIH2,-0.744
Klebsiella pneumoniae,Klebsiella quasipneumoniae IIIF3SW-P1,-0.368
Klebsiella pneumoniae,Klebsiella sp. MS 92-3,-0.613
Klebsiella pneumoniae,Klebsiella variicola,-0.556
Klebsiella pneumoniae,Staphylococcus saprophyticus,0
Klebsiella pneumoniae,Pantoea dispersa,-0.839
Klebsiella pneumoniae,Rahnella aquatilis,-0.668
Klebsiella pneumoniae F3-2P(2),Enterococcus avium,-0.489
Klebsiella pneumoniae F3-2P(2),Enterococcus faecalis,0
Klebsiella pneumoniae F3-2P(2),Paenibacillus polymyxa,0
Klebsiella pneumoniae F3-2P(2),Penicillium chrysogenum,0
Klebsiella pneumoniae F3-2P(2),Penicillium flavigenum,0
Klebsiella pneumoniae F3-2P(2),Penicillium nalgiovense,0
Klebsiella pneumoniae F3-2P(2),Penicillium rubens,0
Klebsiella pneumoniae F3-2P(2),Rhodotorula sp. JG-1b,-1
Klebsiella pneumoniae F3-2P(2),Staphylococcus aureus,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus epidermidis,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus haemolyticus,-1
Klebsiella pneumoniae F3-2P(2),Staphylococcus saprophyticus,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus sp. LCT-H4,0
Klebsiella pneumoniae F3-2P(2),Staphylococcus warneri,0
Klebsiella quasipneumoniae IF1SW-B2,Aspergillus niger,0
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella pneumoniae,-0.691
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella quasipneumoniae IF1SW-P3,-0.447
Klebsiella quasipneumoniae IF1SW-B2,Klebsiella quasipneumoniae IF1SW-P4,-0.447
Klebsiella quasipneumoniae IF1SW-B2,Penicillium chrysogenum,0
Klebsiella quasipneumoniae IF1SW-B2,Penicillium rubens,0
Klebsiella quasipneumoniae IF1SW-B2,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF1SW-B2,Rhodotorula toruloides,-0.992
Klebsiella quasipneumoniae IF1SW-P3,Aspergillus niger,0
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella pneumoniae,-0.691
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella quasipneumoniae IF1SW-B2,-0.553
Klebsiella quasipneumoniae IF1SW-P3,Klebsiella quasipneumoniae IF1SW-P4,-0.447
Klebsiella quasipneumoniae IF1SW-P3,Penicillium chrysogenum,0
Klebsiella quasipneumoniae IF1SW-P3,Penicillium rubens,0
Klebsiella quasipneumoniae IF1SW-P3,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF1SW-P3,Rhodotorula toruloides,-0.992
Klebsiella quasipneumoniae IF1SW-P4,Aspergillus niger,0
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella pneumoniae,-0.691
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella quasipneumoniae IF1SW-B2,-0.553
Klebsiella quasipneumoniae IF1SW-P4,Klebsiella quasipneumoniae IF1SW-P3,-0.553
Klebsiella quasipneumoniae IF1SW-P4,Penicillium chrysogenum,0
Klebsiella quasipneumoniae IF1SW-P4,Penicillium rubens,0
Klebsiella quasipneumoniae IF1SW-P4,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF1SW-P4,Rhodotorula toruloides,-0.992
Klebsiella quasipneumoniae IF2SW-B3,Enterobacter asburiae,-0.341
Klebsiella quasipneumoniae IF2SW-B3,Enterobacter cancerogenus,-0.408
Klebsiella quasipneumoniae IF2SW-B3,Enterobacter cloacae,-0.239
Klebsiella quasipneumoniae IF2SW-B3,Enterobacter hormaechei,-0.507
Klebsiella quasipneumoniae IF2SW-B3,Enterobacter roggenkampii,-0.204
Klebsiella quasipneumoniae IF2SW-B3,Enterobacter sp. NFIX59,-0.311
Klebsiella quasipneumoniae IF2SW-B3,Escherichia coli,0
Klebsiella quasipneumoniae IF2SW-B3,Klebsiella oxytoca,-0.568
Klebsiella quasipneumoniae IF2SW-B3,Klebsiella pneumoniae,-0.691
Klebsiella quasipneumoniae IF2SW-B3,Klebsiella quasipneumoniae IF2SW-P1,-0.447
Klebsiella quasipneumoniae IF2SW-B3,Pantoea ananatis,-0.428
Klebsiella quasipneumoniae IF2SW-B3,Penicillium rubens,0
Klebsiella quasipneumoniae IF2SW-B3,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF2SW-B3,Salmonella enterica,-0.601
Klebsiella quasipneumoniae IF2SW-B3,Shigella sonnei,-0.164
Klebsiella quasipneumoniae IF2SW-P1,Enterobacter asburiae,-0.341
Klebsiella quasipneumoniae IF2SW-P1,Enterobacter cancerogenus,-0.408
Klebsiella quasipneumoniae IF2SW-P1,Enterobacter cloacae,-0.335
Klebsiella quasipneumoniae IF2SW-P1,Enterobacter hormaechei,-0.507
Klebsiella quasipneumoniae IF2SW-P1,Enterobacter roggenkampii,-0.204
Klebsiella quasipneumoniae IF2SW-P1,Enterobacter sp. NFIX59,-0.311
Klebsiella quasipneumoniae IF2SW-P1,Escherichia coli,0
Klebsiella quasipneumoniae IF2SW-P1,Klebsiella oxytoca,-0.568
Klebsiella quasipneumoniae IF2SW-P1,Klebsiella pneumoniae,-0.691
Klebsiella quasipneumoniae IF2SW-P1,Klebsiella quasipneumoniae IF2SW-B3,-0.553
Klebsiella quasipneumoniae IF2SW-P1,Pantoea ananatis,-0.476
Klebsiella quasipneumoniae IF2SW-P1,Penicillium rubens,0
Klebsiella quasipneumoniae IF2SW-P1,Rhodotorula sp. JG-1b,-1
Klebsiella quasipneumoniae IF2SW-P1,Salmonella enterica,-0.601
Klebsiella quasipneumoniae IF2SW-P1,Shigella sonnei,-0.196
Klebsiella quasipneumoniae IIIF3SW-P1,Escherichia coli,0
Klebsiella quasipneumoniae IIIF3SW-P1,Klebsiella pneumoniae,-0.632
Klebsiella quasipneumoniae IIIF3SW-P1,Klebsiella sp. MS 92-3,-0.609
Klebsiella quasipneumoniae IIIF3SW-P1,Klebsiella variicola,-0.532
Klebsiella quasipneumoniae IIIF3SW-P1,Penicillium rubens,0
Klebsiella quasipneumoniae IIIF3SW-P1,Salmonella enterica,-0.778
Klebsiella quasipneumoniae IIIF3SW-P1,Staphylococcus saprophyticus,0
Klebsiella sp. MS 92-3,Escherichia coli,0
Klebsiella sp. MS 92-3,Klebsiella pneumoniae,-0.387
Klebsiella sp. MS 92-3,Klebsiella quasipneumoniae IIIF3SW-P1,-0.391
Klebsiella sp. MS 92-3,Klebsiella variicola,-0.551
Klebsiella sp. MS 92-3,Penicillium rubens,0
Klebsiella sp. MS 92-3,Salmonella enterica,-0.603
Klebsiella sp. MS 92-3,Staphylococcus saprophyticus,0
Klebsiella variicola,Escherichia coli,0
Klebsiella variicola,Klebsiella pneumoniae,-0.444
Klebsiella variicola,Klebsiella quasipneumoniae IIIF3SW-P1,-0.468
Klebsiella variicola,Klebsiella sp. MS 92-3,-0.449
Klebsiella variicola,Penicillium rubens,0
Klebsiella variicola,Salmonella enterica,-0.798
Klebsiella variicola,Staphylococcus saprophyticus,0
Paenibacillus polymyxa,Enterococcus avium,-0.326
Paenibacillus polymyxa,Enterococcus faecalis,-0.279
Paenibacillus polymyxa,Klebsiella pneumoniae F3-2P(2),-0.646
Paenibacillus polymyxa,Penicillium chrysogenum,0
Paenibacillus polymyxa,Penicillium flavigenum,0
Paenibacillus polymyxa,Penicillium nalgiovense,0
Paenibacillus polymyxa,Penicillium rubens,0
Paenibacillus polymyxa,Rhodotorula sp. JG-1b,-1
Paenibacillus polymyxa,Staphylococcus aureus,-0.191
Paenibacillus polymyxa,Staphylococcus epidermidis,-0.721
Paenibacillus polymyxa,Staphylococcus haemolyticus,-0.338
Paenibacillus polymyxa,Staphylococcus saprophyticus,0
Paenibacillus polymyxa,Staphylococcus sp. LCT-H4,0
Paenibacillus polymyxa,Staphylococcus warneri,-0.483
Paenibacillus polymyxa IIF5SW-B3,Escherichia coli,-0.646
Paenibacillus polymyxa IIF5SW-B3,Klebsiella pneumoniae,-0.646
Paenibacillus polymyxa IIF5SW-B3,Pantoea agglomerans FJII-L5-SW-P2,-0.646
Paenibacillus polymyxa IIF5SW-B3,Pantoea ananatis,-1
Paenibacillus polymyxa IIF5SW-B3,Pantoea conspicua,-0.646
Paenibacillus polymyxa IIF5SW-B3,Pantoea sp. 3.5.1,-0.646
Paenibacillus polymyxa IIF5SW-B3,Pantoea vagans,-0.646
Pantoea agglomerans,Aspergillus niger,0
Pantoea agglomerans,Enterobacter cloacae,0
Pantoea agglomerans,Escherichia coli,0
Pantoea agglomerans,Klebsiella aerogenes IIIF7SW-P1,0
Pantoea agglomerans,Klebsiella pneumoniae,-0.3
Pantoea agglomerans,Pantoea ananatis,-0.683
Pantoea agglomerans,Pantoea conspicua,-0.704
Pantoea agglomerans,Pantoea sp. 3.5.1,-0.479
Pantoea agglomerans,Penicillium rubens,0
Pantoea agglomerans,Rhodotorula sp. JG-1b,-1
Pantoea agglomerans,Pantoea sp. A4,-0.666
Pantoea agglomerans,Pantoea sp. At-9b,-0.116
Pantoea agglomerans,Pantoea sp. IMH,-0.727
Pantoea agglomerans,Pantoea sp. NGS-ED-1003,-0.423
Pantoea agglomerans,Pantoea sp. OXWO6B1,-0.413
Pantoea agglomerans,Pantoea sp. PSNIH2,-0.891
Pantoea agglomerans,Pantoea vagans,-0.463
Pantoea agglomerans,Salmonella enterica,-0.427
Pantoea agglomerans FJII-L5-SW-P2,Escherichia coli,-0.148
Pantoea agglomerans FJII-L5-SW-P2,Klebsiella pneumoniae,-0.317
Pantoea agglomerans FJII-L5-SW-P2,Paenibacillus polymyxa IIF5SW-B3,0
Pantoea agglomerans FJII-L5-SW-P2,Pantoea ananatis,-0.171
Pantoea agglomerans FJII-L5-SW-P2,Pantoea conspicua,-0.693
Pantoea agglomerans FJII-L5-SW-P2,Pantoea sp. 3.5.1,-0.584
Pantoea agglomerans FJII-L5-SW-P2,Pantoea vagans,-0.51
Pantoea ananatis,Aspergillus niger,0
Pantoea ananatis,Enterobacter asburiae,-0.362
Pantoea ananatis,Enterobacter cancerogenus,0
Pantoea ananatis,Enterobacter cloacae,-0.258
Pantoea ananatis,Enterobacter hormaechei,-0.262
Pantoea ananatis,Enterobacter roggenkampii,-0.398
Pantoea ananatis,Enterobacter sp. NFIX59,-0.328
Pantoea ananatis,Escherichia coli,-0.132
Pantoea ananatis,Klebsiella aerogenes IIIF7SW-P1,-0.246
Pantoea ananatis,Klebsiella oxytoca,-0.357
Pantoea ananatis,Klebsiella pneumoniae,-0.176
Pantoea ananatis,Klebsiella quasipneumoniae IF2SW-B3,-0.386
Pantoea ananatis,Klebsiella quasipneumoniae IF2SW-P1,-0.353
Pantoea ananatis,Paenibacillus polymyxa IIF5SW-B3,0
Pantoea ananatis,Pantoea agglomerans,-0.214
Pantoea ananatis,Pantoea agglomerans FJII-L5-SW-P2,-0.559
Pantoea ananatis,Penicillium rubens,0
Pantoea ananatis,Rhodotorula sp. JG-1b,-1
Pantoea ananatis,Salmonella enterica,-0.447
Pantoea ananatis,Shigella sonnei,-0.129
Pantoea ananatis,Pantoea conspicua,-0.526
Pantoea ananatis,Pantoea sp. 3.5.1,-0.596
Pantoea ananatis,Pantoea vagans,-0.173
Pantoea ananatis,Pantoea sp. A4,-0.1
Pantoea ananatis,Pantoea sp. At-9b,-0.414
Pantoea ananatis,Pantoea sp. IMH,-0.203
Pantoea ananatis,Pantoea sp. NGS-ED-1003,-0.177
Pantoea ananatis,Pantoea sp. OXWO6B1,-0.173
Pantoea ananatis,Pantoea sp. PSNIH2,-0.176
Pantoea ananatis,Pantoea dispersa,-0.175
Pantoea ananatis,Rahnella aquatilis,-0.483
Pantoea conspicua,Aspergillus niger,0
Pantoea conspicua,Enterobacter cloacae,0
Pantoea conspicua,Escherichia coli,-0.118
Pantoea conspicua,Klebsiella aerogenes IIIF7SW-P1,0
Pantoea conspicua,Klebsiella pneumoniae,-0.153
Pantoea conspicua,Paenibacillus polymyxa IIF5SW-B3,0
Pantoea conspicua,Pantoea agglomerans,-0.296
Pantoea conspicua,Pantoea agglomerans FJII-L5-SW-P2,-0.307
Pantoea conspicua,Pantoea ananatis,-0.22
Pantoea conspicua,Pantoea sp. 3.5.1,-0.158
Pantoea conspicua,Penicillium rubens,0
Pantoea conspicua,Rhodotorula sp. JG-1b,-1
Pantoea conspicua,Pantoea vagans,-0.296
Pantoea conspicua,Pantoea sp. A4,0
Pantoea conspicua,Pantoea sp. At-9b,-0.285
Pantoea conspicua,Pantoea sp. IMH,-0.819
Pantoea conspicua,Pantoea sp. NGS-ED-1003,-0.321
Pantoea conspicua,Pantoea sp. OXWO6B1,-0.273
Pantoea conspicua,Pantoea sp. PSNIH2,-0.31
Pantoea conspicua,Salmonella enterica,-0.231
Pantoea dispersa,Enterobacter hormaechei,-0.203
Pantoea dispersa,Escherichia coli,-0.146
Pantoea dispersa,Klebsiella pneumoniae,-0.108
Pantoea dispersa,Pantoea ananatis,-0.825
Pantoea dispersa,Rahnella aquatilis,-0.674
Pantoea sp. 3.5.1,Escherichia coli,-0.218
Pantoea sp. 3.5.1,Klebsiella pneumoniae,-0.281
