Org A,Org B,Effect
Pantoea sp. PSNIH2,Klebsiella pneumoniae,-0.256
Pantoea ananatis,Pantoea agglomerans,-0.214
Pantoea conspicua,Pantoea agglomerans,-0.296
Pantoea sp. A4,Pantoea agglomerans,-0.225
Pantoea sp. IMH,Pantoea agglomerans,-0.273
Pantoea sp. NGS-ED-1003,Pantoea agglomerans,-0.577
Pantoea sp. OXWO6B1,Pantoea agglomerans,-0.587
Pantoea sp. PSNIH2,Pantoea agglomerans,-0.109
Pantoea vagans,Pantoea agglomerans,-0.537
Salmonella enterica,Pantoea agglomerans,-0.573
Salmonella enterica,Pantoea ananatis,-0.337
Pantoea conspicua,Pantoea ananatis,-0.22
Pantoea vagans,Pantoea ananatis,-0.743
Pantoea sp. A4,Pantoea ananatis,-0.9
Pantoea sp. IMH,Pantoea ananatis,-0.699
Pantoea sp. NGS-ED-1003,Pantoea ananatis,-0.738
Pantoea sp. OXWO6B1,Pantoea ananatis,-0.743
Pantoea sp. PSNIH2,Pantoea ananatis,-0.738
Pantoea vagans,Pantoea conspicua,-0.704
Pantoea sp. A4,Pantoea conspicua,-0.674
Pantoea sp. IMH,Pantoea conspicua,-0.181
Pantoea sp. NGS-ED-1003,Pantoea conspicua,-0.679
Pantoea sp. OXWO6B1,Pantoea conspicua,-0.727
Pantoea sp. PSNIH2,Pantoea conspicua,-0.69
Salmonella enterica,Pantoea conspicua,-0.769
Pantoea sp. IMH,Pantoea sp. A4,0
Pantoea sp. NGS-ED-1003,Pantoea sp. A4,-0.313
Pantoea sp. OXWO6B1,Pantoea sp. A4,-0.703
Pantoea sp. PSNIH2,Pantoea sp. A4,-0.595
Pantoea vagans,Pantoea sp. A4,-0.714
Salmonella enterica,Pantoea sp. A4,-0.361
Pantoea sp. NGS-ED-1003,Pantoea sp. IMH,-0.656
Pantoea sp. OXWO6B1,Pantoea sp. IMH,-0.683
Pantoea sp. PSNIH2,Pantoea sp. IMH,-0.655
Pantoea vagans,Pantoea sp. IMH,-0.777
Salmonella enterica,Pantoea sp. IMH,-0.807
Pantoea sp. OXWO6B1,Pantoea sp. NGS-ED-1003,-0.269
Pantoea sp. PSNIH2,Pantoea sp. NGS-ED-1003,-0.216
Pantoea vagans,Pantoea sp. NGS-ED-1003,-0.541
Salmonella enterica,Pantoea sp. NGS-ED-1003,-0.572
Pantoea sp. PSNIH2,Pantoea sp. OXWO6B1,-0.449
Pantoea vagans,Pantoea sp. OXWO6B1,-0.481
Salmonella enterica,Pantoea sp. OXWO6B1,-0.592
Pantoea vagans,Pantoea sp. PSNIH2,-0.898
Salmonella enterica,Pantoea sp. PSNIH2,-0.748
Salmonella enterica,Pantoea vagans,-0.523
